source,target,note
"/","/","Homepage"
"/abb-partnership","/about/abb/","ABB Partnership"
"/about","/about/","About"
"/amp8","/industries/water/","AMP8 → Water (or create dedicated page)"
"/assets/electric-submersible-pumps","/platform/what-we-monitor/esps/","ESPs asset page"
"/blog/3-reasons-why-sam4-best-tool-hot-strip-mill-availability","/resources/blog/3-reasons-why-sam4-best-tool-hot-strip-mill-availability/","Blog: 3 reasons why SAM4 is the best tool to improve the availabil"
"/blog/acoustic-emission-analysis","/resources/blog/acoustic-emission-analysis/","Blog: Acoustic Emission Analysis (Everything You Need To Know)"
"/blog/airlock-in-water-pumps-the-silent-polluter","/resources/blog/airlock-in-water-pumps-the-silent-polluter/","Blog: Airlock in water pumps: the silent polluter"
"/blog/best-key-performance-indicators-for-every-industrial-maintenance-team","/resources/blog/best-key-performance-indicators-for-every-industrial-maintenance-team/","Blog: Best key performance indicators for every industrial mainten"
"/blog/better-together","/resources/blog/better-together/","Blog: Humans and machines: Better together"
"/blog/combined-sewer-overflows-part1","/resources/blog/combined-sewer-overflows-part1/","Blog: How can water companies reduce storm overflow discharges? (P"
"/blog/combined-sewer-overflows-part2","/resources/blog/combined-sewer-overflows-part2/","Blog: How can water companies reduce storm overflow discharges? (P"
"/blog/combined-sewer-overflows-part3","/resources/blog/combined-sewer-overflows-part3/","Blog: How can water companies reduce storm overflow discharges? (P"
"/blog/condition-based-maintenance","/resources/blog/condition-based-maintenance/","Blog: Condition-based maintenance: The 5 step guide"
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-1-plan","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-1-plan/","Blog: Condition-based maintenance: from pilot to scaling (Part 1: "
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-2-people","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-2-people/","Blog: Condition-based maintenance: from pilot to scaling (Part 2: "
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-3-process","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-3-process/","Blog: Condition-based maintenance: from pilot to scaling (Part 3: "
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-4-technology","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-4-technology/","Blog: Condition-based maintenance: from pilot to scaling (Part 4: "
"/blog/condition-monitoring-guide-to-the-5-major-technologies","/resources/blog/condition-monitoring-guide-to-the-5-major-technologies/","Blog: Condition monitoring: Guide to the 5 major technologies"
"/blog/condition-monitoring-in-wind-turbines-advantages-of-mcsa","/resources/blog/condition-monitoring-in-wind-turbines-advantages-of-mcsa/","Blog: Condition monitoring in wind turbines (Video)"
"/blog/expert-interview-dirk-jan-wienen-condition-based-maintenance-water-industry","/resources/blog/expert-interview-dirk-jan-wienen-condition-based-maintenance-water-industry/","Blog: Expert interview: Dirk-Jan Wienen talks about condition-base"
"/blog/find-remote-pump-monitoring-system","/resources/blog/find-remote-pump-monitoring-system/","Blog: How to find a remote monitoring system for your pump?"
"/blog/improve-hot-strip-mill-maintenance-strategy","/resources/blog/improve-hot-strip-mill-maintenance-strategy/","Blog: How to improve your hot strip mill maintenance strategy thro"
"/blog/maximize-electric-motor-reliability-and-life","/resources/blog/maximize-electric-motor-reliability-and-life/","Blog: Looking to maximize electric motor reliability and life? Her"
"/blog/motor-current-signature-analysis","/resources/blog/motor-current-signature-analysis/","Blog: Motor Current Signature Analysis (What And How?)"
"/blog/oil-analysis-condition-monitoring","/resources/blog/oil-analysis-condition-monitoring/","Blog: How is oil analysis used for condition monitoring?"
"/blog/predictive-maintenance-quick-start-guide","/resources/blog/predictive-maintenance-quick-start-guide/","Blog: The quick-start guide to predictive maintenance 4.0"
"/blog/proven-maintenance-strategies-for-industrial-equipment","/resources/blog/proven-maintenance-strategies-for-industrial-equipment/","Blog: 10 proven maintenance strategies for industrial equipment"
"/blog/pump-failure","/resources/blog/top-5-failures-in-pumps-and-how-to-detect-them/","Blog: Pump failure: causes, modes and prevention strategies"
"/blog/reduce-maintenance-costs-for-your-wind-farm","/resources/blog/reduce-maintenance-costs-for-your-wind-farm/","Blog: How to reduce maintenance costs for your wind farm"
