post_title,post_name,post_date,post_status,post_type,post_category,tags_input,post_content,original_url,featured_image
Northern Ireland Water expands asset monitoring program with AI technology from Samotics,northern-ireland-water-expands-asset-monitoring-program-with-ai-technology-from-samotics,"Wed, 11 May 2022 12:07:12 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands — May 11, 2022 —</strong> Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, has grown the deployment of its AI-driven SAM4 system across <a href=""https://www.niwater.com/home/"">Northern Ireland Water’s</a> submerged assets to support the delivery of a more cost efficient and sustainable service. Samotics was initially selected by Northern Ireland Water to provide continuous insight into the health, performance and energy efficiency of its sewage pumps as part of a pilot. After seeing early successes in the program, Northern Ireland Water plans to roll out the SAM4 system to additional sites to further explore all its capabilities across a variety of pump types and processes.

Ensuring the health of submerged pumps is vital to avoid costly, disruptive repairs and prevent damaging pollution events, but assets’ remote location makes it hard to acquire high-quality, high-frequency data. SAM4 solves this problem by analyzing the current and voltage signals of electric-driven motor systems using a technique called electrical signature analysis (ESA). The system’s sensors install in the motor control cabinet, rather than on the pump itself, enabling reliable, remote capture of asset health data. The system also provides superior detection performance for both electrical and mechanical faults, allowing Northern Ireland Water to detect over 90% of developing failures up to five months in advance.

The decision to scale the number of assets monitored by SAM4 was made as a result of significant successes across the program. In the months following installation, Samotics detected developing faults in two pumps that could have resulted in the complete failure of these assets. Through early intervention, Northern Ireland Water successfully resolved issues and prevented estimated direct damage to the pumps of over £44,000. Most important, Northern Ireland Water minimized the risk of potential pollution events and their significant environmental impact.

Paul Foley, M&E field manager at Northern Ireland Water said: “Northern Ireland Water has been adopting predictive maintenance at the problem sites. We selected Samotics and its SAM4 technology as it’s easy to install the hardware in our existing MCC panels, and because the SAM4 dashboard provides us with a lot of useful information. For example, SAM4 brought to my attention issues with one of our submersible pumps located in a busy office carpark. This insight helped me to plan crews, issue notifications and permits, as well as organize a 25-ton crane, which allowed us to lift and inspect the pump at the most optimal time, minimizing downtime and maintaining pump resilience.”

<img src=""https://samotics.com/wp-content/uploads/2023/10/NIW_pump_image-41_1400w.jpg"" alt="""" /> SAM4 detected a developing fault in this submerged wastewater pump. Following the detection, the pump was lifted for inspection and the Northern Ireland Water team found that the claw connecting the pump to the discharge piping was hanging on with only one out of eight bolts.

In addition to monitoring the health of critical assets, Samotics is also enabling Northern Ireland Water to track pump performance and efficiency in support of its ambitious zero carbon strategy. Using SAM4’s real-time pump performance curve and energy monitor, Northern Ireland Water can identify targeted interventions that improve energy efficiency with a demonstrable return on investment. This includes optimizing operational processes to reflect performance requirements and replacing pumps with more efficient or appropriate models to realize cost-savings. “SAM4 allowed me to build a CAPEX business case using actual pump data,” said Paul Foley. “This helped us select more suitable, energy-efficient pumps at our problem site.”

Jasper Hoogeweegen, CEO at Samotics said: “We are delighted to be supporting Northern Ireland Water in its pursuit of securing long-term water infrastructure resilience. This is vital to ensure it can continue to provide the best possible service to its customers today and in the future in a cost-effective manner. With SAM4, the team can now focus on utilizing real-time, data-driven insights to anticipate faults, improve performance and reduce carbon emissions of submerged pumps, enabling long-term reliability and efficiency of its critical infrastructure.”",https://samotics.com/news/northern-ireland-water-expands-asset-monitoring-program-with-ai-technology-from-samotics,1
Samotics launches SAM4 platform 2.0,sam4-platform-update,"Wed, 08 Mar 2023 12:30:17 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 8 March 2023</strong> — Samotics, a leading provider of actionable insights to eliminate industrial energy waste and unplanned downtime, today announces the launch of its new SAM4 platform 2.0. The interactive analytics hub brings new powerful tools and functionalities that will provide customers with actionable insights to optimize assets' health and energy performance.

SAM4 is a proven system which enables global industries, including water and wastewater, chemicals and steel, to monitor the performance and efficiency of critical assets. It uses a technique called electrical signature analysis (ESA) to analyze the current and voltage signals of electric-driven equipment such as motors and pumps to detect developing mechanical and electrical faults. The system’s sensors install in the motor control cabinet, rather than on the asset itself, enabling reliable and remote capture of asset performance and efficiency data.

The SAM4 platform 2.0 visualizes this data to highlight assets that need attention, such as those with developing failures or the highest energy savings potential. The latest enhancements deliver new functionality and features to streamline maintenance and energy optimization decisions:

<p>- <strong>Consolidate fleet and site-wide data</strong>: Samotics' customers will now be able to see how their entire fleet of monitored assets are performing and identify where to focus maintenance and optimization efforts.   	- <strong>Review each asset’s condition monitoring history over time</strong>: With the asset health timeline, users can see a full history of condition monitoring activities performed on an asset, including a record of all open and closed failure detections and maintenance events that took place. Any outstanding open incidents are also visible in real-time and pinpoint both failure mode and recommended maintenance action. Once the advice is implemented, users can record a new maintenance activity directly on the platform and see it reflected in the history timeline.   	- <strong>Track current developments in an asset's health and performance</strong>: From the asset health timeline, users can click through to each incident’s detailed page to see what type of faults are developing, where in the drive train they occur, and the recommended maintenance action. Any updates to the situation are displayed in real-time, enabling users to keep track of the monitored asset's performance.   	- <strong>Compare asset performance to industry benchmarks</strong>: Built-in benchmarking capabilities enable customers to compare an asset’s energy performance against the industry best practice and the industry average to optimize its operation based on data-driven insights.</p>

<p>Thijs Bootsma, Head of Asset Health at Samotics said: “SAM4 processes thousands of data points daily, providing accurate insights into asset health and energy efficiency. The new SAM4 platform 2.0 brings this data together into one, easy-to-use hub, enabling users to stay on top of their maintenance and energy optimization activities and make data-driven decisions more efficiently.” The new SAM4 platform 2.0 is now live and available for all customers, across both SAM4 Health and SAM4 Energy offerings.</p>",https://samotics.com/news/sam4-platform-update,0
Seed Group and Samotics partner to bring condition monitoring and energy optimization services to the Middle East,seed-group-samotics-partnership,"Wed, 08 Feb 2023 12:27:34 +0000",draft,post,News,[],"<strong>Dubai, United Arab Emirates; Leiden, The Netherlands, 8 February 2023</strong> — <a href=""https://www.seedgroup.com/helping-your-company-grow/"">Seed Group</a>, a company of the Private Office of Sheikh Saeed bin Ahmed Al Maktoum, has entered into a strategic partnership with Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, to bring enhanced condition monitoring and energy optimization services to the Middle East.

As part of this partnership, Seed Group will support Samotics to expand its operations and establish its offering in the Emirates and the wider Middle East region. The companies will collaborate to identify approaches and opportunities to bring Samotics’ innovative solutions to the region’s industrial players, helping them eliminate unplanned downtime and improve energy efficiency.

The partnership is an important milestone in Samotics’ global growth strategy, as it marks its first entry into the Middle Eastern market. To date, Samotics has established its SAM4 technology as a robust and scalable solution. It is already well established in sectors such as water and wastewater, steel and chemical, monitoring thousands of assets for over 80 customers across five continents.

Samotics’ SAM4 technology supports global industries to monitor the performance and efficiency of critical assets. Underpinned by a technique called electrical signature analysis (ESA), it analyzes the current and voltage signals of electric-driven equipment such as motors, pumps and conveyors. The system’s sensors install in the motor control cabinet, rather than on the machine being monitored, enabling reliable, remote capture of high-quality performance and efficiency data. Through this partnership, organizations across the Middle East can now access this robust and scalable technology to harness the power of these insights to make data-driven decisions and enhance their maintenance strategies.

Hisham Al Gurg, CEO of Seed Group and the Private Office of Sheikh Saeed bin Ahmed Al Maktoum, said, ""Teaming up with Samotics will enable us to bring the latest technologies to help companies through downtimes. The innovative AI solutions by Samotics will make it possible for industries to enhance their performance and contribute to the national and regional economies through intuitive and predictive maintenance. We look forward to a fruitful association.""

Jasper Hoogeweegen, CEO at Samotics said: “Our SAM4 solution is demonstrating clear value for industries globally, helping to identify developing faults, streamline maintenance approaches and meet carbon reduction targets. We are excited to be partnering with Seed Group to bring this technology to the Middle East and support businesses to unlock the full potential of asset performance data to improve efficiencies, save costs and optimize operation.”

Within its SAM4 system, Samotics offers two unique solutions. SAM4 Health, the company’s flagship offering, analyzes current and voltage signals to detect electrical and mechanical faults. Using ESA and machine learning, SAM4 Health offers superior fault detection accuracy, detecting over 90% of failures up to five months in advance. SAM4 Energy, the world's first continuous monitoring system for industrial equipment efficiency, provides detailed performance and efficiency insights to identify where energy consumption, cost and efficiency losses are largest and implement data-driven recommendations.

Seed Group is a notable force in the technology, healthcare, hospitality, and telecommunications landscapes in the Middle East. Over the past 20 years, it has formed successful strategic alliances with leading global companies representing diverse regions to accelerate sustainable market entry and presence within the Gulf Cooperation Council countries.

 
<h3>About Samotics</h3>

<p>Samotics is a leading provider of real-time actionable insights to optimize performance and energy efficiency of AC motors and rotating equipment. An expert team of data scientists, software developers and technical specialists has developed an AI-driven platform that supports global industrial companies in reducing energy waste and unplanned downtime. Our customer base includes sector-leading players such as Anglian Water, Northumbrian Water, Pidpa and more. <h3>About Seed Group</h3></p>

<p>Over the past 20 years, Seed Group has formed strategic alliances with leading global companies representing diverse regions and industries. These companies have propelled their business interests and goals in the Middle East and North Africa region through the support and strong base of regional connections of the Seed Group. The Group’s goal is to create mutually beneficial partnerships with multinational organizations and to accelerate their sustainable market entry and presence within the MENA region. Seed Group has been a key point in the success of all its partners in the region, helping them reach their target customers and accelerate their businesses. The Private Office was established by Sheikh Saeed bin Ahmed Al Maktoum to directly invest in or assist potential business opportunities in the region, which meet The Private Office’s criteria. For more information, visit <a href=""http://www.seedgroup.com/"">www.seedgroup.com</a>.</p>",https://samotics.com/news/seed-group-samotics-partnership,0
Samotics and Yorkshire Water win the Digital Transformation Award at the 2025 Utility Week Awards,samotics-and-yorkshire-water-win-the-digital-transformation-award-at-the-2025-utility-week-awards,"Wed, 03 Dec 2025 13:15:51 +0000",draft,post,News,[],"<p>Samotics and <a href=""https://www.yorkshirewater.com/"">Yorkshire Water</a> have won the Digital Transformation Award at the <a href=""https://www.utilityweekawards.co.uk/"">2025 Utility Week Awards</a>. Our collaborative project, <em>Predict to Protect: Yorkshire Water’s Digital Transformation Journey</em>, was recognized for reshaping how one of the United Kingdom’s largest water and wastewater utilities manages its network through predictive, data-led operations.  Partnering with Samotics has helped to enable Yorkshire Water to transition to a focus on proactive, insight-driven maintenance rather than reactive response. Thousands of critical assets are now continuously monitored using Samotics’ <a href=""https://samotics.com/kb/electrical-signature-analysis/"">Electrical Signature Analysis (ESA)</a> technology, uncovering hidden issues such as blockages, airlocks, and mechanical defects long before failure. This work has already delivered £9.8 million in benefits, prevented more than 35 pollution events, reduced reactive site visits by 15%, and achieved 5-10% energy savings.  However, the real transformation lies in integration. ESA insights are now fully embedded within Yorkshire Water’s Strategic Data Platform and Cloud Telemetry Platform, giving operational teams unified visibility and a trusted foundation for raising and prioritizing jobs. This central approach brings together multiple data streams to support faster, more confident interventions and sets the stage for future automated workflows.  Yorkshire Water has established a strong culture of data-driven decision-making by strengthening its Operational Intelligence team and implementing new processes that prioritize targeted maintenance over routine inspections. This blend of technology, people, and culture is in place to improve environmental performance and service reliability, protecting rivers and communities while supporting decarbonization.  With plans to double coverage to 5000 assets over the next five years, the Predict to Protect program is establishing a repeatable model for the wider sector and proving how digital transformation delivers lasting value for customers, the environment, and society.  ""We are extremely proud to have received this award alongside Samotics. The partnership, through several years of collaboration, has indeed helped transform our approach to managing and maintaining our wastewater assets. We'll be continuing the hard work with Samotics, further improving our asset resilience and reliability, our impact on the environment, and the experience of our customers,"" said Simon Herrington, Process Safety & Compliance Delivery Manager at Yorkshire Water.</p>",https://samotics.com/news/samotics-and-yorkshire-water-win-the-digital-transformation-award-at-the-2025-utility-week-awards,0
Samotics extends SAM4 to support medium and high-voltage motors,samotics-extends-sam4-to-support-medium-and-high-voltage-motors,"Tue, 30 Mar 2021 11:40:12 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands — March 30, 2021 —</strong> Samotics, a leading provider of AI-driven predictive analytics, today announces that it has extended its SAM4 asset health monitoring system to support medium and high-voltage equipment. The SAM4 system now covers the full spectrum of low, medium and high-voltage AC machines to detect developing failures up to five months in advance.

SAM4 has been available for rotating AC equipment up to 690 V since 2018. Following a two-year period of extensive development and testing, including pilot programs with Samotics’ customers, SAM4 is now proven to deliver the same market-leading failure prediction accuracy to higher-voltage equipment. Combined with the unique insight SAM4 provides into power consumption and real-time operation, plus the benefits of remote sensor installation to monitor assets in hazardous or hard-to-reach locations, this gives medium and high-voltage asset owners a proven way to significantly reduce maintenance costs, minimize damage to expensive equipment and optimize energy efficiency.

""After SAM4's success in monitoring our low-voltage assets, we were eager to test it out on our medium-voltage machines. These are often custom assets whose failure is extremely expensive in terms of replacement and downtime. SAM4's results on these machines are very promising,"" said Henk Assink, project manager for Industry 4.0 at Nouryon, a global specialty chemicals leader and Samotics customer.

By extending SAM4’s capabilities beyond low-voltage equipment, Samotics now provides a comprehensive solution that organizations can implement across a full portfolio of rotating AC assets. Implementing SAM4 at scale will drive further efficiencies, as organizations can focus their valuable time and resources on those machines that are outliers in terms of health, operational performance or energy efficiency.

“The annual maintenance costs for a medium or high-voltage machine can easily spiral to tens of thousands of euros a year, while a single downtime event can cost millions, presenting a very real risk of overwhelming an organization,” said Jasper Hoogeweegen, CEO at Samotics. “We have invested heavily in innovation to enable SAM4 to support motors of any voltage, which takes us a huge step further toward a future where 0% unplanned downtime becomes the norm for organizations worldwide.”

Earlier this month, Samotics announced it has completed a five million euro funding round to accelerate its expansion into the US market, expedite the rollout of new features, and further technological innovation in predictive maintenance.",https://samotics.com/news/samotics-extends-sam4-to-support-medium-and-high-voltage-motors,0
Accurate energy insights with calibrated pump performance,accurate-energy-insights-with-calibrated-pump-performance,"Tue, 29 Apr 2025 06:25:15 +0000",draft,post,News,[],"<p>Understanding pump efficiency starts with knowing where you are on the pump curve. But OEM (original equipment manufacturer) pump curves - while useful - don’t always match what’s happening in the field. That mismatch can throw off energy insights and decision-making.  With our latest update, SAM4 now supports calibrated pump curves based on telemetry - giving you a much clearer picture of pump performance and efficiency. <h2>📈 Real-world performance, not just specs</h2></p>

<p>SAM4 now lets you:</p>

<p>- View actual pump head and flow performance based on historical telemetry   	- Toggle between OEM and calibrated curves directly in the dashboard   	- Get more accurate calculations of the Best Efficiency Point (BEP)</p>

<p>This helps operations and energy teams:</p>

<p>- Validate how well a pump is performing relative to real-world conditions   	- Spot pumps that are chronically off-curve and wasting energy   	- Build stronger business cases for replacement or reconfiguration</p>

<p>“OEM curves are a good starting point - but they’re not the full picture. This update gives our customers a real, data-backed view of pump performance,” said Gianlucca Frasso (Lead Energy Efficiency Analysis at Samotics).  .  <img src=""https://samotics.com/wp-content/uploads/2025/04/Calibrated-pump-curve-vs-OEM-documentation-pump-curve-1-e1744896148663.png"" alt="""" /> OEM documentation pump curves show what’s expected. Calibrated pump curves show what’s really happening. By comparing the two, SAM4 reveals how pumps actually perform in the field - turning assumptions into actionable insights. <h2>⚙️ How it works</h2></p>

<p>When telemetry is available (head & flow), SAM4 now overlays a calibrated curve that reflects observed pump behavior. This allows the system to:</p>

<p>- Detect shifts in pump performance over time   	- Deliver more accurate energy insights (e.g., kWh/m³, BEP deviation)   	- Improve prioritization of energy-saving recommendations</p>

<p>For customers without complete telemetry, this work lays the foundation for future estimation models using proxy data. <h2>🚀 Available now</h2></p>

<p>The calibrated pump curve feature is now live for supported pumps across all customers. It’s already improving the accuracy of energy analyses in major water utilities. Want to learn more? Contact your customer success manager or <a href=""https://samotics.com/demo"">book a demo</a> with our team.</p>",https://samotics.com/news/accurate-energy-insights-with-calibrated-pump-performance,1
South East Water selects Samotics to optimize asset performance and energy efficiency,south-east-water-deploys-sam4,"Tue, 28 Mar 2023 12:35:33 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 28 March 2023</strong> — Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, has been selected by <a href=""https://www.southeastwater.co.uk/"">South East Water</a> to complete a 12-month trial of its SAM4 system. This proof-of-value pilot forms part of South East Water’s proactive maintenance strategy, enabling the delivery of safe and reliable drinking water services to approximately 2.2 million people across the southeast of England.

The remote, hard-to-reach and often submerged locations of critical assets within drinking water treatment present a significant challenge for organizations looking to adopt a proactive maintenance approach. South East Water needed a solution to overcome this, especially for its fleet of borehole pumps which are partially submerged and difficult to regularly lift and monitor. SAM4 answers this need by monitoring and reporting on asset performance and efficiency without needing to install sensors on, or even near, submerged assets.

“South East Water, like a lot of water companies, is trying to reduce the reactive nature of maintenance in favor of a more planned and predictive approach. We selected Samotics’ SAM4 technology as it’s very easy to install with minimal downtime,” said Zoe Swan, Business Information Systems Project Manager at South East Water. “It can be quickly installed onto our remote sites even when communication is an issue. Plus, it can be fitted to submersible assets without the need of costly removal of these assets out of tanks or boreholes.”

Samotics’ SAM4 technology achieves this with a technique called electrical signature analysis (ESA). It analyzes the current and voltage signals of electric-driven equipment such as motors and pumps to detect over 90% of developing mechanical and electrical faults up to five months in advance. The system’s sensors install in the motor control cabinet, rather than on the pump itself, enabling reliable and remote capture of high-quality performance and efficiency data.

South East Water will also deploy Samotics’ SAM4 Energy solution to deliver detailed performance and efficiency insights to identify where energy consumption, cost and efficiency losses are largest and implement data-driven recommendations across monitored assets. This analysis will help South East Water to identify the assets with the highest energy savings potential and optimize its operations accordingly. This data-driven approach could reduce energy waste by up to 15% and help the water company achieve its ambitious target of net zero carbon emissions by 2030.

Zoe Swan, Business Information Systems Project Manager at South East Water added: “Since it went live, the SAM4 dashboard has provided us with a lot of useful information. For example, it has already picked out a number of our larger assets that have a very high potential of operational savings, which in our current climate is another positive.”

Jasper Hoogeweegen, CEO at Samotics said: “Samotics’ technology is being adopted by a growing number of major players in the water industry, showcasing clear and tangible results and helping to deliver successful proactive maintenance strategies. We look forward to collaborating with South East Water to help future-proof its operations and deliver an efficient, safe and reliable service to its customers.”

SAM4 will monitor the performance and energy efficiency of dozens of critical assets, including intermediate pumps, borehole pumps and boosters, spread over five locations in the region.",https://samotics.com/news/south-east-water-deploys-sam4,0
"Samotics brings data analytics to the edge to support customers in remote, low-bandwidth locations",edge-analytics,"Tue, 22 Nov 2022 12:25:43 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 22 November 2022</strong> — Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, is starting the roll out of edge analytics for remote and offshore customers. By performing analytics on the edge, Samotics’ SAM4 Health solution benefits from reduced bandwidth requirements to process and transfer data, which makes it easily accessible in remote and offshore locations.

SAM4 Health is a proven system which supports global industries to monitor the performance and efficiency of critical assets. Underpinned by a technique called electrical signature analysis (ESA), it analyzes the current and voltage signals of electric-driven equipment such as motors, pumps and conveyors. The system’s sensors install in the motor control cabinet, rather than on the machine being monitored, enabling reliable, remote capture of asset health data. Now with the addition of edge analytics, SAM4 Health can provide insight into equipment health with greater speed and accuracy without network restrictions, providing greater access for remote and offshore organizations.

For many organizations with industrial assets located in remote geographies with limited and unreliable network connectivity, the immense amount of asset health data generated by connected devices can easily overwhelm their centralized data infrastructure. Edge analytics helps solve this challenge by collecting, storing, processing and analyzing data at the location where it is created, on the devices at the edge.

In addition to remote monitoring, remote and offshore customers can now achieve greater control over data movement and storage by creating, hosting, and processing data in one place. With data regulation increasing, this centralized approach can help organizations meet stringent data privacy and data sovereignty requirements.

Thijs Bootsma, Head of Asset Health at Samotics said: “We’re always looking to improve and enhance our services and we’ve seen the potential of edge analytics to help our customers unlock the power of their data. Therefore, we’ve invested in enhancing our data processing capabilities on the edge to reduce our data communication while being able to generate failure indicators near real-time. This allows us to offer a complete solution to customers in remote, low-bandwidth locations. We look forward to selectively rolling out this feature in the coming months to our customers, who experience network restrictions.”",https://samotics.com/news/edge-analytics,0
United Utilities trials Samotics’ AI-based smart monitoring system to optimize pump efficiency and reliability,united-utilities-trials-samotics-ai-based-smart-monitoring-system-to-optimize-pump-efficiency-and-reliability,"Tue, 22 Jun 2021 11:42:44 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands — June 22, 2021 —</strong> Samotics, a leading provider of AI-driven industrial analytics for asset performance management, has been selected for a 12-month trial by United Utilities Group PLC, one of the UK’s largest water and wastewater companies, to improve the reliability and efficiency of its operations.

The trial emerged from United Utilities’ CEO Challenge initiative, in which teams of graduates in different business areas work together to find innovative solutions to business issues, such as maintenance excellence and minimizing environmental impact.

Samotics’ SAM4 system has a suite of features to optimize pump efficiency and reliability. SAM4 analyzes current and voltage data from electric motors using a technique called electrical signature analysis (ESA). The system’s sensors install in the motor control cabinet, rather than on the machine being monitored, enabling the reliable capture of detailed health data regardless of the machine’s location and exposure to hazards. Thanks to a comprehensive proprietary library of predictive models and fault signatures validated by Samotics’ installed asset base, SAM4 provides superior detection performance for both electrical and mechanical faults. The system also provides a suite of energy and performance metrics, including a real-time pump performance curve. Together, these features will enable United Utilities to quickly identify when equipment begins to operate below the optimum level, enabling repairs and replacements to be scheduled more effectively to improve energy efficiency and prevent unnecessary wear and tear.

“United Utilities has a deep commitment to resilient, environmentally responsible water management, and we’re delighted to play a part in helping provide its customers with the best possible service at the lowest sustainable cost,” said Jasper Hoogeweegen, CEO at Samotics. “Pumps pose a major maintenance challenge in industries like water management. With SAM4, operators can access more insights than ever before and in near real time, empowering them to act instead of react to upcoming challenges and ensure pumps continue to run efficiently and effectively.”

Explaining why his team had identified Samotics’ technology as worthy of further testing, graduate team member Nathanael Pattison said: “Monitoring the health of powered assets was a key priority in our CEO Challenge project as our team of graduates was tasked to find ways to optimize asset health understanding and monitoring. Samotics’ capabilities intrigued us due to its non-invasive approach to asset condition and performance monitoring and the possibility of developing real-time pump curves. We are excited to see how the trial proceeds and the insights we could gain to ensure we continue providing customers with great service because of strong operational performance.”

The SAM4 system will be installed on 25 pumps at eight locations, testing a variety of pump types and processes, over 12 months before being evaluated.",https://samotics.com/news/united-utilities-trials-samotics-ai-based-smart-monitoring-system,0
Samotics launches Energy Analytics to help customers realize up to 15% energy savings,energy-analytics-launch-announcement,"Tue, 19 Sep 2023 12:44:41 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 19 September 2023</strong> — Samotics, a leading provider of actionable insights to eliminate industrial energy waste and unplanned downtime, today announces the launch of its latest energy efficiency solution: Energy Analytics. The platform enables industrial organizations to unlock the full value of existing data to realize energy savings of up to 15% and reduce associated CO2 emissions.

“There is a growing sense of urgency for industrial organizations to improve the efficiency of their operations and reduce energy waste. Electricity costs—which are by far the largest outlay when operating rotating equipment—continue to increase amid ongoing pressures within energy markets. Organizations are also working to realize ambitious sustainability targets as part of a global push toward net zero,” said Jasper Hoogeweegen, CEO at Samotics. “Energy Analytics enables organizations to act immediately with no hardware investment, transforming fragmented, granular datasets into concrete recommendations to reduce energy costs and emissions.”

Energy Analytics leverages Samotics’ years of experience monitoring electrical signals to provide insight into the efficiency of rotating equipment, benchmark performance against industry best practices, and deliver actionable, prioritized savings recommendations.

With Energy Analytics, organizations simply enable access to historic telemetry data from their existing measurement infrastructure (e.g. SCADA systems), which is then mapped, cleaned and pre-processed to enable structured analysis within the industry-leading analytics platform. Support from Samotics’ expert team then enables organizations to quickly realize and report significant energy savings of up to 15% through continuous optimization, without the CAPEX investment and complexity associated with the installation of hardware.

Energy Analytics directly complements Samotics’ widely deployed and proven SAM4 technology ecosystem which uses electrical signature analysis (ESA) to enable continuous monitoring of the assets' health, performance and energy efficiency. Where an organization’s existing monitoring data is incomplete in terms of volume or quality, for example, SAM4 Energy sensors can be quickly and easily installed. This is particularly beneficial for equipment in harsh or submerged environments, as the sensors are installed in the motor control cabinet rather than on the asset itself.

“Adding a software-only solution to our product suite equips industrial organizations with another powerful, flexible tool to unlock performance and sustainability benefits through a smart, proactive condition-based maintenance approach, while providing an opportunity to significantly scale our ability to support organizations around the world,” adds Hoogeweegen.",https://samotics.com/news/energy-analytics-launch-announcement,0
